127.0.0.1 - - [25/May/2019:19:30:46 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:25 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:25 +0530] "GET /Lab09/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:25 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:20:01:01 +0530] "GET /Lab09/index.html HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [25/May/2019:20:01:01 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:08:47 +0530] "GET /Lab09/Login.html HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [25/May/2019:22:08:47 +0530] "GET /Lab09/js/jquery-3.4.1.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2019:22:09:37 +0530] "GET /Lab09/Login.html HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [25/May/2019:22:09:38 +0530] "GET /Lab09/js/jquery-3.4.1.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2019:22:09:41 +0530] "GET /Lab09/index.html HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [25/May/2019:22:10:12 +0530] "GET /Lab09/js/jquery-3.4.1.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2019:22:10:14 +0530] "GET /Lab09/Login.html HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [25/May/2019:22:10:14 +0530] "GET /Lab09/js/jquery-3.4.1.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2019:22:10:24 +0530] "POST /Lab09/Login HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [25/May/2019:22:10:27 +0530] "GET /Lab09/js/jquery-3.4.1.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2019:22:11:45 +0530] "GET /Lab09/Login.html HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [25/May/2019:22:11:46 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:12:24 +0530] "GET /Lab09/Login.html HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [25/May/2019:22:12:24 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:12:40 +0530] "GET /Lab09/Login.html HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [25/May/2019:22:12:40 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:13:16 +0530] "GET /Lab09/Login.html HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [25/May/2019:22:13:16 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:16:17 +0530] "GET /Lab09/UserRegis.html HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [25/May/2019:22:16:30 +0530] "GET /Lab09/newUser HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [25/May/2019:22:17:08 +0530] "GET /Lab09/UserRegis.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [25/May/2019:22:17:08 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:17:29 +0530] "GET /Lab09/UserRegis.html HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [25/May/2019:22:17:30 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:17:35 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [25/May/2019:22:17:40 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [25/May/2019:22:19:50 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [25/May/2019:22:21:38 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [25/May/2019:22:22:28 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [25/May/2019:22:23:42 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [25/May/2019:22:25:18 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [25/May/2019:22:27:23 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [25/May/2019:22:27:23 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:30:09 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [25/May/2019:22:30:09 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:30:09 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:31:54 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [25/May/2019:22:31:54 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:22:33:06 +0530] "GET /Lab09/EditUser.html HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [25/May/2019:22:33:06 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
